Month,Genre,MPAA rating,Opening Screens,Total Domestic Gross,First Weekend,Best actors,Top dollar actors,Sequel,Summer release,Holiday release,Christmas release,Ebert review,Oscar nominations,Oscars
November,Horror,R,1793,20.241,9.1065,1,0,0,0,0,0,2,0,0
July,Comedy,PG-13,1942,19.882,6.578,0,0,0,1,0,0,2,0,0
January,Action,R,2107,19.819,8.009,1,0,0,0,0,0,1,0,0
April,SF,R,2510,19.165,7.274,0,0,1,0,0,0,2,0,0
February,Action,R,1936,18.967,8.0466,0,0,0,0,0,0,3,0,0
April,Comedy,PG-13,1650,18.878,4.8103,0,0,1,0,0,0,2,0,0
November,Childrens,PG,2384,18.318,6.1626,0,0,1,0,1,0,4,0,0
September,Drama,PG,596,18.252,3.3214,0,1,0,0,0,0,3,0,0
July,Horror,R,1842,17.441,7.0707,0,0,0,1,0,0,2,0,0
March,Comedy,R,1207,17.439,5.5338,2,0,0,0,0,0,3,0,0
January,Comedy,R,1701,17.278,7.7725,0,0,0,0,0,0,3,0,0
August,Drama,R,1859,16.574,6.6115,0,0,0,1,0,0,4,0,0
August,Drama,PG,1467,15.814,4.5077,0,0,0,1,0,0,3,0,0
August,Comedy,R,1797,15.062,4.7047,0,0,0,1,0,0,2,0,0
March,Drama,R,1351,15.03,5.8664,1,0,0,0,0,0,2,0,0
October,SF,R,2507,14.567,6.4472,0,0,0,0,0,0,4,0,0
March,SF,R,1754,14.337,5.577,0,0,0,0,0,0,4,0,0
February,Action,PG-13,2507,13.979,6.1296,0,0,1,0,0,0,2,0,0
May,Drama,PG-13,1477,13.871,5.0118,0,0,0,0,0,0,3,0,0
February,Action,R,1963,13.668,5.8334,0,0,0,0,0,0,2,0,0
March,Thriller,PG-13,1966,13.513,5.7424,1,0,0,0,0,0,2,0,0
February,Comedy,R,1843,13.035,5.3377,0,0,0,0,0,0,3,0,0
November,Comedy,R,1086,12.902,4.3197,1,0,0,0,0,0,4,0,0
May,Action,PG-13,2025,12.829,4.8094,0,0,0,0,0,0,3,0,0
March,Action,PG-13,1463,12.674,5.2507,0,0,0,0,0,0,3,0,0
August,Drama,R,1369,12.413,3.9464,0,0,0,1,0,0,2,0,0
November,Comedy,PG,1759,12.213,3.8983,0,0,0,0,0,0,1,0,0
October,Comedy,PG,2013,12.065,5.1069,0,1,0,0,0,0,2,0,0
February,Horror,R,1758,11.146,4.7378,0,0,0,0,0,0,2,0,0
April,Childrens,G,540,11.144,2.5853,0,0,0,0,0,0,3,0,0
May,Comedy,R,1126,10.562,4.3351,1,0,0,0,1,0,1,0,0
November,Comedy,PG-13,1925,10.443,3.784,0,1,0,0,1,0,3,0,0
May,Comedy,R,655,10.305,3.3103,0,0,0,0,0,0,2,0,0
March,Drama,PG-13,1965,10.297,4.0102,0,0,0,0,0,0,2,0,0
August,Childrens,G,1669,10.215,2.6037,0,0,1,1,0,0,2,0,0
September,Action,R,1800,10.076,5.5162,0,0,0,1,1,0,2,0,0
June,Comedy,PG-13,1776,9.975,3.6342,0,0,0,1,0,0,3,0,0
November,Thriller,R,1260,9.801,3.2459,0,0,0,0,1,0,1,0,0
November,Thriller,R,600,9.63,3.4548,0,0,0,0,0,0,4,0,0
